"","team","season","pts_pct"
"200","NYI","2017-18",0.488
"201","NYI","2016-17",0.573
"202","NYI","2015-16",0.61
"203","NYI","2014-15",0.616
"204","NYI","2013-14",0.482
"205","NYI","2012-13",0.573
"206","NYI","2011-12",0.482
"207","NYI","2010-11",0.445
"208","NYI","2009-10",0.482
"209","NYI","2008-09",0.372
"210","NYI","2007-08",0.482
"211","NYI","2006-07",0.561
"212","NYI","2005-06",0.476
"213","NYI","2003-04",0.555
"214","NYI","2002-03",0.506
"215","NYI","2001-02",0.585
"216","NYI","2000-01",0.317
"217","NYI","1999-00",0.354
"218","NYI","1998-99",0.354
"219","NYI","1997-98",0.433
"220","NYI","1996-97",0.427
"221","NYI","1995-96",0.329
"222","NYI","1994-95",0.365
"223","NYI","1993-94",0.5
"224","NYI","1992-93",0.518
"225","NYI","1991-92",0.494
"226","NYI","1990-91",0.375
"227","NYI","1989-90",0.456
"228","NYI","1988-89",0.381
"229","NYI","1987-88",0.55
"230","NYI","1986-87",0.513
"231","NYI","1985-86",0.563
"232","NYI","1984-85",0.538
"233","NYI","1983-84",0.65
"234","NYI","1982-83",0.6
"235","NYI","1981-82",0.738
"236","NYI","1980-81",0.688
"237","NYI","1979-80",0.569
"238","NYI","1978-79",0.725
"239","NYI","1977-78",0.694
"240","NYI","1976-77",0.663
"241","NYI","1975-76",0.631
"242","NYI","1974-75",0.55
"243","NYI","1973-74",0.359
"244","NYI","1972-73",0.192
"245","PIT","2023-24",0.515
"246","PIT","2022-23",0.555
"247","PIT","2021-22",0.628
"248","PIT","2020-21",0.688
"249","PIT","2019-20",0.623
"250","PIT","2018-19",0.61
"251","PIT","2017-18",0.61
"252","PIT","2016-17",0.677
"253","PIT","2015-16",0.634
"254","PIT","2014-15",0.598
"255","PIT","2013-14",0.665
"256","PIT","2012-13",0.75
"257","PIT","2011-12",0.659
"258","PIT","2010-11",0.646
"259","PIT","2009-10",0.616
"260","PIT","2008-09",0.604
"261","PIT","2007-08",0.622
"262","PIT","2006-07",0.64
"263","PIT","2005-06",0.354
"264","PIT","2003-04",0.354
"265","PIT","2002-03",0.396
"266","PIT","2001-02",0.421
"267","PIT","2000-01",0.585
"268","PIT","1999-00",0.537
"269","PIT","1998-99",0.549
"270","PIT","1997-98",0.598
"271","PIT","1996-97",0.512
