Season,Team,GP,W,L,OL,PTS%
2018-19,Anaheim Ducks,82,35,37,10,.488
2017-18,Anaheim Ducks,82,44,25,13,.616
2016-17,Anaheim Ducks,82,46,23,13,.640
2015-16,Anaheim Ducks,82,46,25,11,.628
2014-15,Anaheim Ducks,82,51,24,7,.665
2013-14,Anaheim Ducks,82,54,20,8,.707
2012-13,Anaheim Ducks,48,30,12,6,.688
2011-12,Anaheim Ducks,82,34,36,12,.488
2010-11,Anaheim Ducks,82,47,30,5,.604
2009-10,Anaheim Ducks,82,39,32,11,.543
2008-09,Anaheim Ducks,82,42,33,7,.555
2007-08,Anaheim Ducks,82,47,27,8,.622
