Season,Age,Tm,GP,W,L,T/O,GA,SA,SV,SV%,GAA,SO,MIN
2017-18,26,LAK,5,2,0,2,11,145,134,.924,2.48,0,267
2018-19,27,LAK,31,10,14,1,61,845,784,.928,2.30,2,1593
2019-20,28,TOT,26,11,12,3,73,761,688,.904,2.80,0,1567
2020-21,29,TOR,22,17,3,2,46,585,539,.921,2.15,2,1284
2021-22,30,TOR,49,31,9,6,123,1430,1307,.914,2.64,5,2795
2022-23,31,EDM,36,21,9,4,115,1027,912,.888,3.41,1,2026
2023-24,32,EDM,5,1,4,0,20,157,137,.873,4.50,0,267
