Season,Age,Tm,GP,W,L,T/O,GA,SA,SV,SV%,GAA,SO,MIN
2019-20,25,CBJ,33,13,9,8,71,919,848,.923,2.35,5,1815
2020-21,26,CBJ,28,8,12,5,69,825,756,.916,2.77,2,1497
2021-22,27,CBJ,59,27,23,7,178,1920,1742,.907,3.22,2,3320
2022-23,28,CBJ,30,7,18,2,110,889,779,.876,4.23,0,1560
2023-24,29,CBJ,35,12,13,7,104,1080,976,.904,3.21,1,1944
