Season,Age,Tm,GP,W,L,T/O,GA,SA,SV,SV%,GAA,SO,MIN
2019-20,23,MIN,5,3,1,1,15,172,157,.913,2.96,0,304
2020-21,24,MIN,24,16,8,0,68,692,624,.902,2.88,2,1414
2021-22,25,TOT,36,14,14,4,93,1056,963,.912,2.87,0,1947
2022-23,26,SJS,37,9,20,7,135,1149,1014,.883,3.85,1,2106
2023-24,27,TOT,32,6,21,3,107,1021,914,.895,3.75,0,1710
