Season,Age,Tm,GP,W,L,T/O,GA,SA,SV,SV%,GAA,SO,MIN
2021-22,25,ARI,52,13,32,3,170,1669,1499,.898,3.68,1,2773
2022-23,26,ARI,50,18,24,6,168,1670,1502,.899,3.43,3,2941
2023-24,27,ARI,29,8,16,2,91,847,756,.893,3.51,1,1556
