Season,Team,GP,W,L,OL,PTS%
2018-19,Dallas Stars,82,43,32,7,.567
2017-18,Dallas Stars,82,42,32,8,.561
2016-17,Dallas Stars,82,34,37,11,.482
2015-16,Dallas Stars,82,50,23,9,.665
2014-15,Dallas Stars,82,41,31,10,.561
2013-14,Dallas Stars,82,40,31,11,.555
2012-13,Dallas Stars,48,22,22,4,.500
2011-12,Dallas Stars,82,42,35,5,.543
2010-11,Dallas Stars,82,42,29,11,.579
2009-10,Dallas Stars,82,37,31,14,.537
2008-09,Dallas Stars,82,36,35,11,.506
2007-08,Dallas Stars,82,45,30,7,.591
